"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"14/01/2026","26,277.5","26,274.0","26,304.0","26,273.0","","-0.04%"
"13/01/2026","26,287.5","26,268.5","26,305.0","26,245.0","","0.05%"
"12/01/2026","26,275.0","26,267.0","26,290.0","26,242.5","","0.08%"
"10/01/2026","26,255.0","26,269.0","26,274.0","26,249.0","","-0.06%"
"09/01/2026","26,270.0","26,272.0","26,297.5","26,246.0","","0.00%"
"08/01/2026","26,270.0","26,277.0","26,310.5","26,247.5","","-0.02%"
"07/01/2026","26,274.0","26,279.5","26,293.0","26,270.5","","-0.01%"
"06/01/2026","26,275.5","26,279.5","26,294.5","26,267.0","","0.00%"
"05/01/2026","26,274.5","26,290.0","26,307.5","26,262.5","","-0.10%"
"02/01/2026","26,300.0","26,300.0","26,300.0","26,300.0","","0.00%"
"01/01/2026","26,300.0","26,300.0","26,300.0","26,300.0","","0.00%"
"31/12/2025","26,300.0","26,270.5","26,327.0","26,260.0","","0.13%"
"30/12/2025","26,265.0","26,287.0","26,301.0","26,239.0","","-0.08%"
"29/12/2025","26,285.0","26,289.5","26,311.0","26,261.5","","-0.02%"
"26/12/2025","26,291.0","26,284.5","26,320.0","26,260.0","","0.04%"
"25/12/2025","26,280.0","26,289.5","26,318.5","26,255.0","","-0.15%"
"24/12/2025","26,320.0","26,339.5","26,352.5","26,288.0","","-0.04%"
"23/12/2025","26,331.0","26,334.5","26,356.0","26,320.0","","-0.03%"
"22/12/2025","26,340.0","26,316.0","26,365.0","26,291.5","","0.10%"
"19/12/2025","26,312.5","26,334.5","26,344.0","26,288.0","","-0.05%"
"18/12/2025","26,325.0","26,335.0","26,352.5","26,310.0","","-0.04%"
"17/12/2025","26,335.0","26,344.5","26,369.0","26,305.0","","-0.04%"
"16/12/2025","26,345.0","26,322.5","26,361.5","26,281.0","","0.09%"
"15/12/2025","26,320.0","26,270.0","26,335.0","26,269.0","","0.05%"
